TweetID,is_misinfo,category,Breaking News,Normal News,Pro-life,Pro-Choice,Note,Posting Time,Link,
1540348242960846849,No,News,Yes,No,N/A,N/A,,"Jun 24, 2022 at 10:56 AM",https://twitter.com/i/web/status/1540348242960846849 ,
1540345715616006148,No,Opinion,N/A,N/A,No,Yes,,"Jun 24, 2022 at 10:46 AM",https://twitter.com/i/web/status/1540345715616006148,
1540341761658085376,No,News,Yes,No,N/A,N/A,,"Jun 24, 2022 at 10:31 AM",https://twitter.com/i/web/status/1540341761658085376,
1540338100521603074,No,Opinion,N/A,N/A,Yes,No,,"Jun 24, 2022 at 10:16 AM",https://twitter.com/i/web/status/1540338100521603074,
1521296227291312133,Yes,News,Yes,No,N/A,N/A,,"May 2, 2022 at 9:10 PM",https://twitter.com/i/web/status/1521296227291312133,
1540343622486327296,No,Opinion,N/A,N/A,Yes,No,,"Jun 24, 2022 at 10:38 AM",https://twitter.com/i/web/status/1540343622486327296,
1521328439759761408,Yes,News,No,Yes,N/A,N/A,"Tweet is misleading on the source of the photo. The photo was taken at a Women's Day protest in Mexico, not a protest specifically about abortion rights. Also, the tweet misleads people to think that the reason the Mexican government decriminalized abortion is because of a protest about abortion, which is not true. The Mexican government ruled on Sept 7, 2021 that penalizing abortion is unconstitutional, while the protest on on abortion rights in Mexico was held on International Safe Abortion Day on Sept 28, 2021","May 2, 2022 at 11:18 PM",https://twitter.com/i/web/status/1521328439759761408,
1540337296473526272,No,News,Yes,No,N/A,N/A,,"Jun 24, 2022 at 10:13 AM ",https://twitter.com/i/web/status/1540337296473526272,
1540405941094326272,No,News,Yes,No,N/A,N/A,The content of the tweet is news about a celebrity's response. A direct quote is taken from the celebrity's post.,"Jun 24, 2022 at 2:46 PM",https://twitter.com/i/web/status/1540405941094326272,
1522330619618996225,Yes,Opinion,N/A,N/A,Yes,No,"Although the tweet at first glance seems like news about a politician's responses to a reporter, the content of the tweet shares the user's perspective and very loose interpretation of the interview, which is why I labelled it as opinion. There is misinformation in this tweet as the user attributed words to the politician that they did not say.","May 5, 2022 at 5:41 PM",https://twitter.com/i/web/status/1522330619618996225,
,,,,,,,,,,
